followers_count;ORGAO_PARTICIPANTE;ORGAO_GESTOR;PERC_PRESENCA;TOTAL_PROPOSTAS;GASTO_GABINETE;cluster
0.0008243455833906449;0.06666666666666667;0.0;0.968;0.020618556701030927;0.6589870429932715;1
0.0;0.0;0.0;0.012;0.005154639175257732;0.0897570830163456;3
0.001534571664194637;0.5333333333333333;0.5;0.972;0.061855670103092786;0.7441993986110014;2
0.0;0.13333333333333333;0.0;0.924;0.14948453608247422;0.5177167100938608;1
0.000904900526392988;0.26666666666666666;0.16666666666666666;0.9640000000000001;0.17525773195876287;0.49097355216744687;4
0.014394497023327034;0.13333333333333333;0.16666666666666666;0.9079999999999999;0.25773195876288657;0.6352077903371927;0
0.0;0.26666666666666666;0.0;0.92;0.12371134020618557;0.6864846557124629;1
0.0;0.13333333333333333;0.0;0.9;0.04639175257731959;0.9379567360456482;1
0.2216355137206885;0.06666666666666667;0.3333333333333333;0.872;0.030927835051546393;0.5467620888417658;4
0.0;0.26666666666666666;0.16666666666666666;0.9359999999999999;0.05154639175257732;0.7260386634264736;0
0.11312934807891566;0.2;0.16666666666666666;0.9440000000000001;0.4896907216494845;0.705837918104585;0
0.01688498734448281;0.2;0.16666666666666666;0.9079999999999999;0.15979381443298968;0.6323321440324449;0
0.0007840681118894732;0.26666666666666666;0.0;0.912;0.10824742268041238;0.864942631906727;1
0.0;0.3333333333333333;0.3333333333333333;0.672;0.19072164948453607;0.7412289196179247;0
0.0;0.0;0.0;0.10800000000000001;0.0;0.05654545221892557;3
0.0;0.26666666666666666;0.0;0.892;0.17525773195876287;0.7659976171485459;1
0.0;0.06666666666666667;0.16666666666666666;0.8320000000000001;0.061855670103092786;0.5273577365545339;0
0.0;0.06666666666666667;0.16666666666666666;0.924;0.10824742268041238;0.7133795600016373;0
0.0037048560869160983;0.3333333333333333;0.0;0.764;0.06701030927835051;0.7776747751329826;1
0.0;0.13333333333333333;0.16666666666666666;0.956;0.1134020618556701;0.7029388126324028;0
0.0;0.2;0.0;0.816;0.005154639175257732;0.6603960109009903;1
0.1264873715022792;0.2;0.0;0.956;0.09278350515463918;0.49658916360826244;1
0.0;0.26666666666666666;0.16666666666666666;0.988;0.17525773195876287;0.523679182081715;4
0.0;0.06666666666666667;0.3333333333333333;0.9279999999999999;0.18556701030927836;0.7486594995824459;0
0.0008508615854622495;0.3333333333333333;0.16666666666666666;0.9440000000000001;0.06701030927835051;0.31105247152523513;4
0.0;0.26666666666666666;0.0;0.956;0.07731958762886598;0.6436483683129581;1
0.0;0.2;0.16666666666666666;0.9440000000000001;0.07731958762886598;0.4185572935442108;4
0.0;0.3333333333333333;0.16666666666666666;0.892;0.05670103092783505;0.7358699528749623;0
0.0;0.4;0.16666666666666666;0.988;0.03608247422680412;0.19496696100852046;2
0.0007840681118894732;0.13333333333333333;0.16666666666666666;0.9359999999999999;0.07216494845360824;0.8044251981362205;0
0.0;0.0;0.0;0.9359999999999999;0.0;0.679022179717095;1
0.0;0.26666666666666666;0.3333333333333333;0.8959999999999999;0.14948453608247422;0.7298673589144345;0
0.012356456965367753;0.3333333333333333;0.16666666666666666;0.92;0.4175257731958763;0.7316162035211407;0
0.0;0.0;0.16666666666666666;0.912;0.14948453608247422;0.8049938544480767;0
0.0;0.2;0.16666666666666666;0.84;0.14432989690721648;0.836967035721632;0
0.0;0.4666666666666667;0.5;0.884;0.14432989690721648;0.5890722440645847;2
0.007390244729273298;0.4;0.3333333333333333;0.912;0.1134020618556701;0.6227250173576746;0
0.0;0.2;0.16666666666666666;0.836;0.09278350515463918;0.7077054061030287;0
0.0;0.13333333333333333;0.16666666666666666;0.872;0.07731958762886598;0.47161313015928863;4
0.0020843591501856287;0.0;0.0;0.736;0.08762886597938144;0.7388357798752966;1
0.0;0.13333333333333333;0.3333333333333333;0.968;0.08762886597938144;0.3896011580626208;4
