ORGAO_PARTICIPANTE;ORGAO_GESTOR;PERC_PRESENCA;TOTAL_PROPOSTAS;GASTO_GABINETE;FOLLOWERS_TIER_Os Analógicos;FOLLOWERS_TIER_Os Antenados;FOLLOWERS_TIER_Os Ascendentes;FOLLOWERS_TIER_Os influencers;IDHM_ponderado;cluster
0.06666666666666667;0.0;0.968;0.020618556701030927;0.6589870429932715;0.0;0.0;1.0;0.0;0.6609345679029235;2
0.0;0.0;0.012;0.005154639175257732;0.0897570830163456;1.0;0.0;0.0;0.0;0.6398401754491236;0
0.5333333333333333;0.5;0.972;0.061855670103092786;0.7441993986110014;0.0;0.0;1.0;0.0;0.3554140373743686;2
0.13333333333333333;0.0;0.924;0.14948453608247422;0.5177167100938608;1.0;0.0;0.0;0.0;0.5637845524047824;1
0.26666666666666666;0.16666666666666666;0.9640000000000001;0.17525773195876287;0.49097355216744687;0.0;0.0;1.0;0.0;0.8390280479840202;2
0.13333333333333333;0.16666666666666666;0.9079999999999999;0.25773195876288657;0.6352077903371927;0.0;0.0;0.0;0.0;0.6617663124305517;0
0.26666666666666666;0.0;0.92;0.12371134020618557;0.6864846557124629;1.0;0.0;0.0;0.0;0.3712468860765248;1
0.13333333333333333;0.0;0.9;0.04639175257731959;0.9379567360456482;1.0;0.0;0.0;0.0;0.21785785504414745;1
0.06666666666666667;0.3333333333333333;0.872;0.030927835051546393;0.5467620888417658;0.0;0.0;0.0;1.0;0.7891695457929324;3
0.26666666666666666;0.16666666666666666;0.9359999999999999;0.05154639175257732;0.7260386634264736;1.0;0.0;0.0;0.0;0.5532288423306877;1
0.2;0.16666666666666666;0.9440000000000001;0.4896907216494845;0.705837918104585;0.0;0.0;0.0;1.0;0.8664584541965188;3
0.2;0.16666666666666666;0.9079999999999999;0.15979381443298968;0.6323321440324449;0.0;0.0;0.0;1.0;0.4571864133632779;3
0.26666666666666666;0.0;0.912;0.10824742268041238;0.864942631906727;0.0;0.0;1.0;0.0;0.567468212302316;2
0.3333333333333333;0.3333333333333333;0.672;0.19072164948453607;0.7412289196179247;1.0;0.0;0.0;0.0;0.4563377406452904;1
0.0;0.0;0.10800000000000001;0.0;0.05654545221892557;1.0;0.0;0.0;0.0;0.8763734402900658;0
0.26666666666666666;0.0;0.892;0.17525773195876287;0.7659976171485459;1.0;0.0;0.0;0.0;0.413464784502795;1
0.06666666666666667;0.16666666666666666;0.8320000000000001;0.061855670103092786;0.5273577365545339;1.0;0.0;0.0;0.0;0.27137590258129984;1
0.06666666666666667;0.16666666666666666;0.924;0.10824742268041238;0.7133795600016373;1.0;0.0;0.0;0.0;0.6132153069965427;1
0.3333333333333333;0.0;0.764;0.06701030927835051;0.7776747751329826;0.0;0.0;0.0;0.0;0.28231201865447275;0
0.13333333333333333;0.16666666666666666;0.956;0.1134020618556701;0.7029388126324028;1.0;0.0;0.0;0.0;0.6640132395851222;1
