ORGAO_PARTICIPANTE;ORGAO_GESTOR;PERC_PRESENCA;TOTAL_PROPOSTAS;GASTO_GABINETE;cluster
0.06666666666666667;0.0;0.968;0.020618556701030927;0.6589870429932715;1
0.0;0.0;0.012;0.005154639175257732;0.0897570830163456;3
0.5333333333333333;0.5;0.972;0.061855670103092786;0.7441993986110014;4
0.13333333333333333;0.0;0.924;0.14948453608247422;0.5177167100938608;2
0.26666666666666666;0.16666666666666666;0.9640000000000001;0.17525773195876287;0.49097355216744687;2
0.13333333333333333;0.16666666666666666;0.9079999999999999;0.25773195876288657;0.6352077903371927;0
0.26666666666666666;0.0;0.92;0.12371134020618557;0.6864846557124629;1
0.13333333333333333;0.0;0.9;0.04639175257731959;0.9379567360456482;1
0.06666666666666667;0.3333333333333333;0.872;0.030927835051546393;0.5467620888417658;0
0.26666666666666666;0.16666666666666666;0.9359999999999999;0.05154639175257732;0.7260386634264736;0
0.2;0.16666666666666666;0.9440000000000001;0.4896907216494845;0.705837918104585;0
0.2;0.16666666666666666;0.9079999999999999;0.15979381443298968;0.6323321440324449;0
0.26666666666666666;0.0;0.912;0.10824742268041238;0.864942631906727;1
0.3333333333333333;0.3333333333333333;0.672;0.19072164948453607;0.7412289196179247;0
0.0;0.0;0.10800000000000001;0.0;0.05654545221892557;3
0.26666666666666666;0.0;0.892;0.17525773195876287;0.7659976171485459;0
0.06666666666666667;0.16666666666666666;0.8320000000000001;0.061855670103092786;0.5273577365545339;0
0.06666666666666667;0.16666666666666666;0.924;0.10824742268041238;0.7133795600016373;0
0.3333333333333333;0.0;0.764;0.06701030927835051;0.7776747751329826;1
0.13333333333333333;0.16666666666666666;0.956;0.1134020618556701;0.7029388126324028;0
0.2;0.0;0.816;0.005154639175257732;0.6603960109009903;1
0.2;0.0;0.956;0.09278350515463918;0.49658916360826244;2
0.26666666666666666;0.16666666666666666;0.988;0.17525773195876287;0.523679182081715;2
0.06666666666666667;0.3333333333333333;0.9279999999999999;0.18556701030927836;0.7486594995824459;0
0.3333333333333333;0.16666666666666666;0.9440000000000001;0.06701030927835051;0.31105247152523513;2
0.26666666666666666;0.0;0.956;0.07731958762886598;0.6436483683129581;1
0.2;0.16666666666666666;0.9440000000000001;0.07731958762886598;0.4185572935442108;2
0.3333333333333333;0.16666666666666666;0.892;0.05670103092783505;0.7358699528749623;0
0.4;0.16666666666666666;0.988;0.03608247422680412;0.19496696100852046;2
0.13333333333333333;0.16666666666666666;0.9359999999999999;0.07216494845360824;0.8044251981362205;0
0.0;0.0;0.9359999999999999;0.0;0.679022179717095;1
0.26666666666666666;0.3333333333333333;0.8959999999999999;0.14948453608247422;0.7298673589144345;0
0.3333333333333333;0.16666666666666666;0.92;0.4175257731958763;0.7316162035211407;0
0.0;0.16666666666666666;0.912;0.14948453608247422;0.8049938544480767;0
0.2;0.16666666666666666;0.84;0.14432989690721648;0.836967035721632;0
0.4666666666666667;0.5;0.884;0.14432989690721648;0.5890722440645847;4
0.4;0.3333333333333333;0.912;0.1134020618556701;0.6227250173576746;0
0.2;0.16666666666666666;0.836;0.09278350515463918;0.7077054061030287;0
0.13333333333333333;0.16666666666666666;0.872;0.07731958762886598;0.47161313015928863;0
0.0;0.0;0.736;0.08762886597938144;0.7388357798752966;1
0.13333333333333333;0.3333333333333333;0.968;0.08762886597938144;0.3896011580626208;2
0.6;0.8333333333333333;0.9;0.2268041237113402;0.2692360134264245;4
0.06666666666666667;0.0;0.88;0.07216494845360824;0.594880590962912;2
0.0;0.0;0.9440000000000001;0.030927835051546393;0.5666430418867315;2
0.2;0.0;0.9279999999999999;0.05670103092783505;0.8079600447022506;1
0.4;0.5;0.9440000000000001;0.21649484536082475;0.7578541573792811;4
0.7333333333333333;0.5;0.9079999999999999;0.36597938144329895;0.0;4
0.06666666666666667;0.0;0.772;0.24742268041237114;0.7166986103501679;1
0.0;0.0;0.68;0.07216494845360824;0.704677544720884;1
0.4;0.0;0.888;0.020618556701030927;0.6311903434661159;0
0.2;0.16666666666666666;0.9;0.041237113402061855;0.630724722348685;0
0.13333333333333333;0.0;0.9640000000000001;0.12371134020618557;0.5988425888927846;2
0.4;1.0;0.9520000000000001;0.22164948453608246;0.5934266850396545;4
0.3333333333333333;0.16666666666666666;0.9840000000000001;0.10309278350515463;0.6797033158232478;0
0.06666666666666667;0.0;0.8759999999999999;0.030927835051546393;0.8752591816158113;1
0.13333333333333333;0.0;0.8759999999999999;0.10309278350515463;0.6648083029797637;1
0.06666666666666667;0.0;0.968;0.02577319587628866;0.7191843563866069;1
0.13333333333333333;0.16666666666666666;0.92;0.05670103092783505;0.6575031158977086;0
0.0;0.0;0.06;0.0;0.003197723565514097;3
0.13333333333333333;0.0;0.98;0.05670103092783505;0.5064143714843763;2
0.13333333333333333;0.16666666666666666;0.792;0.041237113402061855;0.5604291748049214;0
0.26666666666666666;0.3333333333333333;0.8759999999999999;0.21649484536082475;0.6913381723119664;0
0.2;0.0;0.9440000000000001;0.10824742268041238;0.4485304577565544;2
0.4666666666666667;0.16666666666666666;0.94;0.13402061855670103;0.7154358579725295;0
0.5333333333333333;0.5;0.956;0.22164948453608246;0.5528312168445912;4
0.5333333333333333;0.5;0.9079999999999999;0.08762886597938144;0.5908369312259238;4
0.3333333333333333;0.0;0.9840000000000001;0.2422680412371134;0.6692659666351132;0
0.26666666666666666;0.0;0.968;0.26804123711340205;0.613235081059277;0
0.13333333333333333;0.16666666666666666;0.8640000000000001;0.0979381443298969;0.8403779307026954;0
0.13333333333333333;0.0;0.912;0.03608247422680412;0.5916955344103809;2
0.26666666666666666;0.0;0.956;0.14432989690721648;0.7014479719959886;1
0.13333333333333333;0.0;0.644;0.010309278350515464;0.8061889127146944;1
0.0;0.0;0.812;0.015463917525773196;0.8869324609866542;1
0.0;0.0;0.98;0.061855670103092786;0.5488947404265393;2
0.26666666666666666;0.16666666666666666;0.924;0.10824742268041238;0.39096466065083857;2
0.26666666666666666;0.3333333333333333;0.8959999999999999;0.11855670103092783;0.6413251256401312;0
0.2;0.16666666666666666;0.972;0.08247422680412371;0.6529631459526284;0
0.2;0.0;0.664;0.08762886597938144;0.505316407454194;1
0.06666666666666667;0.0;0.912;0.06701030927835051;0.5677384865757539;2
0.06666666666666667;0.0;0.856;0.04639175257731959;0.7814406042706523;1
0.06666666666666667;0.16666666666666666;0.972;0.1958762886597938;0.4059451436078376;2
0.0;0.0;0.0;0.0;0.04487428206393616;3
0.4;0.3333333333333333;0.996;0.18041237113402062;0.4355959962020995;2
0.3333333333333333;0.0;0.968;0.25773195876288657;0.7793202915986231;0
1.0;0.0;0.996;0.07731958762886598;0.3833352285028376;0
0.0;0.0;0.04;0.03608247422680412;0.09598326557516468;3
0.13333333333333333;0.0;0.9520000000000001;0.07731958762886598;0.945316458075373;1
0.26666666666666666;0.16666666666666666;0.888;0.13917525773195877;0.6428888396842686;0
0.6;0.3333333333333333;0.9079999999999999;0.10309278350515463;0.7783474275042589;0
0.13333333333333333;0.16666666666666666;0.9640000000000001;0.03608247422680412;0.27127036383457953;2
0.2;0.0;0.988;0.10824742268041238;0.12323405316808204;2
0.13333333333333333;0.3333333333333333;0.8440000000000001;0.07216494845360824;0.7238975632604214;0
0.13333333333333333;0.3333333333333333;0.84;0.14948453608247422;0.845524979841756;0
0.26666666666666666;0.16666666666666666;0.94;0.05670103092783505;0.7191287668310138;0
0.8666666666666667;0.6666666666666666;0.9159999999999999;0.17010309278350516;0.7740482245488064;4
0.2;0.5;0.924;0.21649484536082475;0.8946517340121317;0
0.2;0.0;0.9159999999999999;0.19072164948453607;0.7683488772386252;0
0.06666666666666667;0.16666666666666666;0.7759999999999999;0.05670103092783505;0.390452062609214;2
0.2;0.0;0.94;0.06701030927835051;0.6412703211815564;1
0.26666666666666666;0.5;0.9840000000000001;0.36597938144329895;0.44480052044198176;2
0.3333333333333333;0.0;0.94;0.09278350515463918;0.41499262500959205;2
0.13333333333333333;0.0;0.9640000000000001;0.020618556701030927;0.7355046484070757;1
0.06666666666666667;0.16666666666666666;0.94;0.06701030927835051;0.7658913009516833;0
0.26666666666666666;0.16666666666666666;0.88;0.10309278350515463;0.7315713358128014;0
0.4666666666666667;0.5;0.956;0.041237113402061855;0.37473582657333676;4
0.26666666666666666;0.5;0.992;0.16494845360824742;0.6819919907918195;4
0.26666666666666666;0.16666666666666666;0.804;0.03608247422680412;0.586594091205213;0
0.06666666666666667;0.0;0.9159999999999999;0.005154639175257732;0.6851592596239892;1
0.06666666666666667;0.0;0.9520000000000001;0.08247422680412371;0.7505405803052771;1
0.13333333333333333;0.16666666666666666;0.9520000000000001;0.07216494845360824;0.21723872194080873;2
0.0;0.0;0.924;0.005154639175257732;0.9232803082717397;1
0.13333333333333333;0.16666666666666666;0.8240000000000001;0.03608247422680412;0.6279248203287908;0
0.26666666666666666;0.0;0.8240000000000001;0.12886597938144329;0.5052195827286723;2
0.0;0.0;0.616;0.02577319587628866;0.4479919046420708;1
0.13333333333333333;0.16666666666666666;0.848;0.05670103092783505;0.687733065422298;0
0.26666666666666666;0.5;0.968;0.061855670103092786;0.6276567741474621;4
0.0;0.0;0.94;0.015463917525773196;0.7420400185742213;1
0.4;0.16666666666666666;0.924;0.12886597938144329;0.7507673678809461;0
0.13333333333333333;0.16666666666666666;0.8440000000000001;0.05154639175257732;0.8181602008498448;0
0.13333333333333333;0.16666666666666666;0.9359999999999999;0.15463917525773196;0.7539981826996202;0
0.3333333333333333;0.3333333333333333;0.884;0.061855670103092786;0.41707685837267167;2
0.06666666666666667;0.0;0.8240000000000001;0.09278350515463918;0.7970957667897236;1
0.5333333333333333;0.0;0.992;0.16494845360824742;0.8133998412838505;0
0.2;0.16666666666666666;0.9159999999999999;0.20618556701030927;0.6297906209545541;0
0.06666666666666667;0.16666666666666666;0.9279999999999999;0.3402061855670103;0.9205933664786453;0
0.4;0.0;0.992;0.39690721649484534;0.6938314646540168;0
0.06666666666666667;0.0;0.852;0.020618556701030927;0.8885748604999791;1
0.2;0.0;0.94;0.41237113402061853;0.6510101409692083;0
0.13333333333333333;0.0;0.7120000000000001;0.3917525773195876;0.6405412824397972;0
0.6;0.3333333333333333;0.956;0.0979381443298969;0.036881256256461555;2
0.2;0.0;0.9;0.22164948453608246;0.6587324606398053;0
0.2;0.0;0.752;0.010309278350515464;0.7040489866788018;1
0.4;0.0;0.904;0.13917525773195877;0.5173797159898675;2
0.3333333333333333;0.16666666666666666;0.9359999999999999;0.06701030927835051;0.7196767996989712;0
0.06666666666666667;0.16666666666666666;0.92;0.05670103092783505;0.6058604304684572;0
0.26666666666666666;0.16666666666666666;0.784;0.22164948453608246;0.6932591758037496;0
